,hypo_sid,judge_sid,length,judgement,trace_key,task_id
64,92,95,4,reject,set_a/task1/trace_004,1
65,99,101,3,reject,set_a/task1/trace_004,1
66,103,104,2,reject,set_a/task1/trace_004,1
67,109,110,2,accept,set_a/task1/trace_004,1
68,122,128,7,reject,set_a/task1/trace_004,1
69,138,141,4,uncertain,set_a/task1/trace_004,1
70,143,144,2,reject,set_a/task1/trace_004,1
71,153,158,6,reject,set_a/task1/trace_004,1
72,167,180,14,reject,set_a/task1/trace_004,1
73,183,185,3,reject,set_a/task1/trace_004,1
74,193,194,2,reject,set_a/task1/trace_004,1
75,204,207,4,reject,set_a/task1/trace_004,1
76,212,213,2,reject,set_a/task1/trace_004,1
77,215,223,9,reject,set_a/task1/trace_004,1
78,227,228,2,reject,set_a/task1/trace_004,1
79,230,232,3,reject,set_a/task1/trace_004,1
80,239,240,2,reject,set_a/task1/trace_004,1
81,247,249,3,reject,set_a/task1/trace_004,1
82,21,23,3,uncertain,set_a/task1/trace_005,1
83,24,27,4,reject,set_a/task1/trace_005,1
84,37,38,2,uncertain,set_a/task1/trace_005,1
85,68,71,4,reject,set_a/task1/trace_005,1
86,72,74,3,reject,set_a/task1/trace_005,1
87,86,88,3,accept,set_a/task1/trace_005,1
88,90,95,6,reject,set_a/task1/trace_005,1
89,96,100,5,accept,set_a/task1/trace_005,1
90,110,111,2,uncertain,set_a/task1/trace_005,1
91,112,115,4,reject,set_a/task1/trace_005,1
92,120,123,4,reject,set_a/task1/trace_005,1
93,131,132,2,uncertain,set_a/task1/trace_005,1
94,152,153,2,uncertain,set_a/task1/trace_005,1
95,154,158,5,reject,set_a/task1/trace_005,1
96,159,169,11,reject,set_a/task1/trace_005,1
97,170,173,4,reject,set_a/task1/trace_005,1
98,174,177,4,reject,set_a/task1/trace_005,1
99,182,184,3,accept,set_a/task1/trace_005,1
100,41,43,3,uncertain,set_a/task1/trace_006,1
101,46,49,4,reject,set_a/task1/trace_006,1
102,56,66,11,reject,set_a/task1/trace_006,1
103,76,77,2,reject,set_a/task1/trace_006,1
104,79,81,3,reject,set_a/task1/trace_006,1
105,85,86,2,reject,set_a/task1/trace_006,1
106,95,96,2,uncertain,set_a/task1/trace_006,1
107,103,105,3,uncertain,set_a/task1/trace_006,1
108,113,116,4,accept,set_a/task1/trace_006,1
109,121,124,4,reject,set_a/task1/trace_006,1
110,131,133,3,reject,set_a/task1/trace_006,1
111,135,137,3,uncertain,set_a/task1/trace_006,1
112,143,144,2,reject,set_a/task1/trace_006,1
113,147,150,4,reject,set_a/task1/trace_006,1
114,154,158,5,reject,set_a/task1/trace_006,1
115,159,161,3,reject,set_a/task1/trace_006,1
116,170,172,3,reject,set_a/task1/trace_006,1
117,174,178,5,reject,set_a/task1/trace_006,1
118,179,181,3,reject,set_a/task1/trace_006,1
119,185,187,3,reject,set_a/task1/trace_006,1
120,188,191,4,reject,set_a/task1/trace_006,1
121,192,196,5,reject,set_a/task1/trace_006,1
122,197,202,6,reject,set_a/task1/trace_006,1
123,203,205,3,reject,set_a/task1/trace_006,1
124,206,208,3,reject,set_a/task1/trace_006,1
125,210,211,2,reject,set_a/task1/trace_006,1
126,212,215,4,reject,set_a/task1/trace_006,1
127,219,221,3,reject,set_a/task1/trace_006,1
128,222,225,4,reject,set_a/task1/trace_006,1
129,226,229,4,reject,set_a/task1/trace_006,1
130,230,232,3,uncertain,set_a/task1/trace_006,1
131,233,236,4,uncertain,set_a/task1/trace_006,1
132,237,239,3,reject,set_a/task1/trace_006,1
133,240,244,5,reject,set_a/task1/trace_006,1
134,250,252,3,reject,set_a/task1/trace_006,1
135,253,258,6,accept,set_a/task1/trace_006,1
136,57,60,4,reject,set_a/task1/trace_007,1
137,65,69,5,reject,set_a/task1/trace_007,1
138,79,86,8,reject,set_a/task1/trace_007,1
139,113,116,4,reject,set_a/task1/trace_007,1
140,117,121,5,reject,set_a/task1/trace_007,1
141,129,130,2,uncertain,set_a/task1/trace_007,1
142,132,136,5,reject,set_a/task1/trace_007,1
143,137,139,3,reject,set_a/task1/trace_007,1
144,154,157,4,uncertain,set_a/task1/trace_007,1
145,164,169,6,reject,set_a/task1/trace_007,1
146,176,177,2,uncertain,set_a/task1/trace_007,1
147,178,180,3,reject,set_a/task1/trace_007,1
148,181,183,3,reject,set_a/task1/trace_007,1
149,191,207,17,reject,set_a/task1/trace_007,1
150,208,209,2,uncertain,set_a/task1/trace_007,1
151,210,213,4,reject,set_a/task1/trace_007,1
152,225,229,5,reject,set_a/task1/trace_007,1
153,236,240,5,reject,set_a/task1/trace_007,1
154,243,245,3,reject,set_a/task1/trace_007,1
155,251,252,2,uncertain,set_a/task1/trace_007,1
156,253,255,3,accept,set_a/task1/trace_007,1
157,277,280,4,accept,set_a/task1/trace_007,1
158,286,287,2,uncertain,set_a/task1/trace_007,1
159,32,37,6,reject,set_a/task1/trace_008,1
160,42,44,3,reject,set_a/task1/trace_008,1
161,52,54,3,reject,set_a/task1/trace_008,1
162,55,57,3,uncertain,set_a/task1/trace_008,1
163,58,63,6,uncertain,set_a/task1/trace_008,1
164,70,71,2,accept,set_a/task1/trace_008,1
165,75,77,3,reject,set_a/task1/trace_008,1
166,78,80,3,reject,set_a/task1/trace_008,1
167,81,83,3,uncertain,set_a/task1/trace_008,1
168,84,88,5,accept,set_a/task1/trace_008,1
169,62,65,4,uncertain,set_a/task1/trace_009,1
170,78,79,2,reject,set_a/task1/trace_009,1
171,80,81,2,reject,set_a/task1/trace_009,1
172,82,89,8,uncertain,set_a/task1/trace_009,1
173,96,97,2,reject,set_a/task1/trace_009,1
174,100,101,2,reject,set_a/task1/trace_009,1
175,116,117,2,uncertain,set_a/task1/trace_009,1
176,120,129,10,uncertain,set_a/task1/trace_009,1
177,135,136,2,uncertain,set_a/task1/trace_009,1
178,137,149,13,reject,set_a/task1/trace_009,1
179,151,152,2,reject,set_a/task1/trace_009,1
180,154,156,3,reject,set_a/task1/trace_009,1
181,157,164,8,reject,set_a/task1/trace_009,1
182,173,174,2,accept,set_a/task1/trace_009,1
183,182,185,4,accept,set_a/task1/trace_009,1
184,187,189,3,accept,set_a/task1/trace_009,1
185,190,191,2,reject,set_a/task1/trace_009,1
186,194,196,3,reject,set_a/task1/trace_009,1
187,16,18,3,reject,set_a/task1/trace_010,1
188,21,31,11,reject,set_a/task1/trace_010,1
189,32,36,5,uncertain,set_a/task1/trace_010,1
190,39,42,4,uncertain,set_a/task1/trace_010,1
191,58,59,2,uncertain,set_a/task1/trace_010,1
192,63,64,2,uncertain,set_a/task1/trace_010,1
193,65,67,3,reject,set_a/task1/trace_010,1
194,71,72,2,reject,set_a/task1/trace_010,1
195,75,76,2,reject,set_a/task1/trace_010,1
196,84,87,4,reject,set_a/task1/trace_010,1
197,91,92,2,uncertain,set_a/task1/trace_010,1
198,95,96,2,reject,set_a/task1/trace_010,1
199,98,101,4,uncertain,set_a/task1/trace_010,1
200,108,109,2,uncertain,set_a/task1/trace_010,1
201,127,129,3,reject,set_a/task1/trace_010,1
202,133,134,2,uncertain,set_a/task1/trace_010,1
203,135,137,3,uncertain,set_a/task1/trace_010,1
204,138,140,3,reject,set_a/task1/trace_010,1
205,141,142,2,uncertain,set_a/task1/trace_010,1
206,145,146,2,reject,set_a/task1/trace_010,1
207,149,150,2,uncertain,set_a/task1/trace_010,1
208,155,156,2,reject,set_a/task1/trace_010,1
209,165,166,2,reject,set_a/task1/trace_010,1
210,169,170,2,uncertain,set_a/task1/trace_010,1
211,182,183,2,uncertain,set_a/task1/trace_010,1
212,186,187,2,uncertain,set_a/task1/trace_010,1
213,190,191,2,reject,set_a/task1/trace_010,1
214,194,195,2,reject,set_a/task1/trace_010,1
215,196,198,3,uncertain,set_a/task1/trace_010,1
216,201,202,2,uncertain,set_a/task1/trace_010,1
217,203,205,3,reject,set_a/task1/trace_010,1
218,211,215,5,accept,set_a/task1/trace_010,1
219,216,217,2,uncertain,set_a/task1/trace_010,1
220,225,226,2,uncertain,set_a/task1/trace_010,1
221,237,238,2,uncertain,set_a/task1/trace_010,1
222,241,243,3,uncertain,set_a/task1/trace_010,1
223,247,250,4,reject,set_a/task1/trace_010,1
224,253,254,2,uncertain,set_a/task1/trace_010,1
225,258,264,7,reject,set_a/task1/trace_010,1
226,265,268,4,reject,set_a/task1/trace_010,1
227,271,272,2,reject,set_a/task1/trace_010,1
228,6,10,5,reject,set_a/task1/trace_011,1
229,20,22,3,reject,set_a/task1/trace_011,1
230,23,26,4,reject,set_a/task1/trace_011,1
231,29,33,5,uncertain,set_a/task1/trace_011,1
232,34,37,4,reject,set_a/task1/trace_011,1
233,51,52,2,accept,set_a/task1/trace_011,1
234,53,55,3,reject,set_a/task1/trace_011,1
235,56,59,4,reject,set_a/task1/trace_011,1
236,67,69,3,uncertain,set_a/task1/trace_011,1
237,77,79,3,accept,set_a/task1/trace_011,1
238,82,84,3,reject,set_a/task1/trace_011,1
239,90,91,2,uncertain,set_a/task1/trace_011,1
240,95,99,5,uncertain,set_a/task1/trace_011,1
241,100,101,2,uncertain,set_a/task1/trace_011,1
242,102,104,3,uncertain,set_a/task1/trace_011,1
243,112,115,4,reject,set_a/task1/trace_011,1
244,121,123,3,uncertain,set_a/task1/trace_011,1
245,124,127,4,reject,set_a/task1/trace_011,1
246,35,36,2,uncertain,set_a/task1/trace_012,1
247,46,55,10,uncertain,set_a/task1/trace_012,1
248,60,61,2,reject,set_a/task1/trace_012,1
249,63,66,4,reject,set_a/task1/trace_012,1
250,67,70,4,reject,set_a/task1/trace_012,1
251,79,80,2,reject,set_a/task1/trace_012,1
252,94,101,8,uncertain,set_a/task1/trace_012,1
253,110,112,3,reject,set_a/task1/trace_012,1
254,117,120,4,uncertain,set_a/task1/trace_012,1
255,128,129,2,uncertain,set_a/task1/trace_012,1
256,130,134,5,reject,set_a/task1/trace_012,1
257,135,137,3,reject,set_a/task1/trace_012,1
258,145,147,3,reject,set_a/task1/trace_012,1
259,148,152,5,reject,set_a/task1/trace_012,1
260,153,154,2,uncertain,set_a/task1/trace_012,1
261,155,156,2,uncertain,set_a/task1/trace_012,1
262,162,166,5,reject,set_a/task1/trace_012,1
263,168,172,5,reject,set_a/task1/trace_012,1
264,180,185,6,accept,set_a/task1/trace_012,1
265,188,189,2,accept,set_a/task1/trace_012,1
266,29,31,3,reject,set_a/task1/trace_013,1
267,34,36,3,reject,set_a/task1/trace_013,1
268,40,42,3,reject,set_a/task1/trace_013,1
269,45,50,6,reject,set_a/task1/trace_013,1
270,51,53,3,uncertain,set_a/task1/trace_013,1
271,54,55,2,reject,set_a/task1/trace_013,1
272,59,61,3,reject,set_a/task1/trace_013,1
273,62,63,2,uncertain,set_a/task1/trace_013,1
274,67,69,3,reject,set_a/task1/trace_013,1
275,70,72,3,reject,set_a/task1/trace_013,1
276,74,79,6,reject,set_a/task1/trace_013,1
277,84,86,3,uncertain,set_a/task1/trace_013,1
278,87,95,9,uncertain,set_a/task1/trace_013,1
279,96,98,3,uncertain,set_a/task1/trace_013,1
280,105,106,2,reject,set_a/task1/trace_013,1
281,107,114,8,reject,set_a/task1/trace_013,1
282,115,118,4,reject,set_a/task1/trace_013,1
283,119,127,9,reject,set_a/task1/trace_013,1
284,134,135,2,reject,set_a/task1/trace_013,1
285,136,149,14,reject,set_a/task1/trace_013,1
286,150,151,2,uncertain,set_a/task1/trace_013,1
287,152,155,4,reject,set_a/task1/trace_013,1
288,161,165,5,reject,set_a/task1/trace_013,1
289,166,171,6,reject,set_a/task1/trace_013,1
290,172,178,7,reject,set_a/task1/trace_013,1
291,186,187,2,reject,set_a/task1/trace_013,1
292,188,192,5,uncertain,set_a/task1/trace_013,1
293,193,195,3,reject,set_a/task1/trace_013,1
294,196,202,7,reject,set_a/task1/trace_013,1
295,212,215,4,reject,set_a/task1/trace_013,1
296,220,222,3,reject,set_a/task1/trace_013,1
297,223,224,2,uncertain,set_a/task1/trace_013,1
298,232,233,2,uncertain,set_a/task1/trace_013,1
299,234,239,6,reject,set_a/task1/trace_013,1
300,240,242,3,reject,set_a/task1/trace_013,1
301,243,251,9,reject,set_a/task1/trace_013,1
302,252,257,6,reject,set_a/task1/trace_013,1
303,258,263,6,reject,set_a/task1/trace_013,1
304,264,269,6,reject,set_a/task1/trace_013,1
305,270,275,6,reject,set_a/task1/trace_013,1
306,12,17,6,reject,set_a/task1/trace_014,1
307,28,30,3,reject,set_a/task1/trace_014,1
308,31,36,6,accept,set_a/task1/trace_014,1
309,64,66,3,reject,set_a/task1/trace_015,1
310,77,79,3,reject,set_a/task1/trace_015,1
311,86,88,3,reject,set_a/task1/trace_015,1
312,96,102,7,accept,set_a/task1/trace_015,1
313,109,112,4,reject,set_a/task1/trace_015,1
314,120,123,4,reject,set_a/task1/trace_015,1
315,129,130,2,reject,set_a/task1/trace_015,1
316,131,135,5,reject,set_a/task1/trace_015,1
317,136,140,5,accept,set_a/task1/trace_015,1
318,145,148,4,uncertain,set_a/task1/trace_015,1
319,151,152,2,reject,set_a/task1/trace_015,1
320,153,157,5,uncertain,set_a/task1/trace_015,1
321,158,159,2,reject,set_a/task1/trace_015,1
322,160,165,6,accept,set_a/task1/trace_015,1
323,15,17,3,reject,set_a/task1/trace_016,1
324,30,31,2,uncertain,set_a/task1/trace_016,1
325,41,43,3,reject,set_a/task1/trace_016,1
326,44,46,3,reject,set_a/task1/trace_016,1
327,47,50,4,reject,set_a/task1/trace_016,1
328,55,56,2,reject,set_a/task1/trace_016,1
329,57,61,5,reject,set_a/task1/trace_016,1
330,63,65,3,reject,set_a/task1/trace_016,1
331,66,69,4,uncertain,set_a/task1/trace_016,1
332,70,74,5,reject,set_a/task1/trace_016,1
333,78,80,3,reject,set_a/task1/trace_016,1
334,81,84,4,reject,set_a/task1/trace_016,1
335,90,92,3,reject,set_a/task1/trace_016,1
336,99,101,3,reject,set_a/task1/trace_016,1
337,102,105,4,uncertain,set_a/task1/trace_016,1
338,106,108,3,uncertain,set_a/task1/trace_016,1
339,109,110,2,reject,set_a/task1/trace_016,1
340,111,113,3,reject,set_a/task1/trace_016,1
341,120,131,12,accept,set_a/task1/trace_016,1
342,132,142,11,accept,set_a/task1/trace_016,1
343,11,13,3,reject,set_a/task1/trace_017,1
344,37,38,2,reject,set_a/task1/trace_017,1
345,55,57,3,uncertain,set_a/task1/trace_017,1
346,58,64,7,reject,set_a/task1/trace_017,1
347,72,74,3,accept,set_a/task1/trace_017,1
348,79,82,4,reject,set_a/task1/trace_017,1
349,83,85,3,reject,set_a/task1/trace_017,1
350,86,90,5,uncertain,set_a/task1/trace_017,1
351,98,102,5,accept,set_a/task1/trace_017,1
352,103,129,27,reject,set_a/task1/trace_017,1
353,107,115,9,accept,set_a/task1/trace_017,1
354,131,136,6,accept,set_a/task1/trace_017,1
355,145,150,6,reject,set_a/task1/trace_017,1
356,151,155,5,reject,set_a/task1/trace_017,1
357,163,166,4,reject,set_a/task1/trace_017,1
358,175,180,6,reject,set_a/task1/trace_017,1
359,181,189,9,reject,set_a/task1/trace_017,1
360,190,192,3,reject,set_a/task1/trace_017,1
361,193,196,4,accept,set_a/task1/trace_017,1
362,224,238,15,reject,set_a/task1/trace_017,1
363,251,252,2,reject,set_a/task1/trace_017,1
364,253,256,4,reject,set_a/task1/trace_017,1
365,20,23,4,uncertain,set_a/task1/trace_018,1
366,28,29,2,uncertain,set_a/task1/trace_018,1
367,42,48,7,reject,set_a/task1/trace_018,1
368,59,62,4,uncertain,set_a/task1/trace_018,1
369,67,74,8,reject,set_a/task1/trace_018,1
370,75,83,9,uncertain,set_a/task1/trace_018,1
371,87,89,3,reject,set_a/task1/trace_018,1
372,90,94,5,reject,set_a/task1/trace_018,1
373,96,103,8,reject,set_a/task1/trace_018,1
374,104,107,4,uncertain,set_a/task1/trace_018,1
375,108,111,4,uncertain,set_a/task1/trace_018,1
376,115,117,3,uncertain,set_a/task1/trace_018,1
377,134,135,2,reject,set_a/task1/trace_018,1
378,136,138,3,reject,set_a/task1/trace_018,1
379,155,157,3,reject,set_a/task1/trace_018,1
380,158,162,5,reject,set_a/task1/trace_018,1
381,179,180,2,reject,set_a/task1/trace_018,1
382,190,191,2,reject,set_a/task1/trace_018,1
383,192,195,4,reject,set_a/task1/trace_018,1
384,197,204,8,accept,set_a/task1/trace_018,1
385,213,214,2,accept,set_a/task1/trace_018,1
386,219,223,5,reject,set_a/task1/trace_018,1
387,224,225,2,uncertain,set_a/task1/trace_018,1
388,226,232,7,reject,set_a/task1/trace_018,1
389,233,236,4,uncertain,set_a/task1/trace_018,1
390,240,241,2,reject,set_a/task1/trace_018,1
391,242,244,3,reject,set_a/task1/trace_018,1
392,245,246,2,uncertain,set_a/task1/trace_018,1
393,248,249,2,uncertain,set_a/task1/trace_018,1
394,251,253,3,reject,set_a/task1/trace_018,1
395,254,260,7,reject,set_a/task1/trace_018,1
396,261,265,5,uncertain,set_a/task1/trace_018,1
397,266,268,3,accept,set_a/task1/trace_018,1
398,31,35,5,reject,set_a/task1/trace_019,1
399,63,66,4,reject,set_a/task1/trace_019,1
400,80,81,2,reject,set_a/task1/trace_019,1
401,82,85,4,reject,set_a/task1/trace_019,1
402,90,101,12,reject,set_a/task1/trace_019,1
403,102,106,5,reject,set_a/task1/trace_019,1
404,108,109,2,reject,set_a/task1/trace_019,1
405,120,122,3,uncertain,set_a/task1/trace_019,1
406,130,132,3,reject,set_a/task1/trace_019,1
407,137,141,5,reject,set_a/task1/trace_019,1
408,147,154,8,reject,set_a/task1/trace_019,1
409,167,169,3,uncertain,set_a/task1/trace_019,1
410,170,177,8,uncertain,set_a/task1/trace_019,1
411,178,185,8,uncertain,set_a/task1/trace_019,1
412,186,187,2,uncertain,set_a/task1/trace_019,1
413,188,195,8,reject,set_a/task1/trace_019,1
414,196,213,18,reject,set_a/task1/trace_019,1
415,218,221,4,reject,set_a/task1/trace_019,1
416,229,230,2,reject,set_a/task1/trace_019,1
417,231,234,4,reject,set_a/task1/trace_019,1
418,235,242,8,reject,set_a/task1/trace_019,1
419,244,251,8,reject,set_a/task1/trace_019,1
420,252,253,2,reject,set_a/task1/trace_019,1
421,262,263,2,uncertain,set_a/task1/trace_019,1
422,264,268,5,reject,set_a/task1/trace_019,1
423,269,273,5,reject,set_a/task1/trace_019,1
424,280,281,2,reject,set_a/task1/trace_019,1
425,282,283,2,reject,set_a/task1/trace_019,1
426,284,288,5,reject,set_a/task1/trace_019,1
427,289,292,4,reject,set_a/task1/trace_019,1
428,293,296,4,reject,set_a/task1/trace_019,1
429,29,33,5,uncertain,set_a/task1/trace_020,1
430,50,55,6,accept,set_a/task1/trace_020,1
431,64,66,3,uncertain,set_a/task1/trace_020,1
432,67,71,5,accept,set_a/task1/trace_020,1
433,73,88,16,accept,set_a/task1/trace_020,1
434,17,19,3,uncertain,set_a/task1/trace_021,1
435,20,22,3,reject,set_a/task1/trace_021,1
436,39,41,3,accept,set_a/task1/trace_021,1
437,46,47,2,reject,set_a/task1/trace_021,1
438,48,50,3,uncertain,set_a/task1/trace_021,1
439,51,52,2,reject,set_a/task1/trace_021,1
440,54,55,2,reject,set_a/task1/trace_021,1
441,60,61,2,uncertain,set_a/task1/trace_021,1
442,62,71,10,reject,set_a/task1/trace_021,1
443,73,81,9,reject,set_a/task1/trace_021,1
444,83,88,6,reject,set_a/task1/trace_021,1
445,89,100,12,reject,set_a/task1/trace_021,1
446,102,106,5,uncertain,set_a/task1/trace_021,1
447,108,109,2,uncertain,set_a/task1/trace_021,1
448,111,112,2,uncertain,set_a/task1/trace_021,1
449,113,115,3,reject,set_a/task1/trace_021,1
450,128,129,2,uncertain,set_a/task1/trace_021,1
451,133,134,2,reject,set_a/task1/trace_021,1
452,147,148,2,accept,set_a/task1/trace_021,1
453,150,151,2,uncertain,set_a/task1/trace_021,1
454,152,153,2,reject,set_a/task1/trace_021,1
455,155,156,2,uncertain,set_a/task1/trace_021,1
456,158,162,5,uncertain,set_a/task1/trace_021,1
457,164,168,5,reject,set_a/task1/trace_021,1
458,169,171,3,reject,set_a/task1/trace_021,1
459,172,176,5,reject,set_a/task1/trace_021,1
460,180,186,7,reject,set_a/task1/trace_021,1
461,18,21,4,reject,set_a/task1/trace_022,1
462,37,56,20,reject,set_a/task1/trace_022,1
463,106,119,14,reject,set_a/task1/trace_022,1
464,124,138,15,reject,set_a/task1/trace_022,1
465,147,152,6,reject,set_a/task1/trace_022,1
466,154,158,5,uncertain,set_a/task1/trace_022,1
467,170,173,4,reject,set_a/task1/trace_022,1
468,174,177,4,reject,set_a/task1/trace_022,1
469,183,188,6,uncertain,set_a/task1/trace_022,1
470,193,196,4,reject,set_a/task1/trace_022,1
471,204,207,4,reject,set_a/task1/trace_022,1
472,212,217,6,reject,set_a/task1/trace_022,1
473,222,227,6,reject,set_a/task1/trace_022,1
474,236,239,4,reject,set_a/task1/trace_022,1
475,246,251,6,reject,set_a/task1/trace_022,1
476,252,255,4,reject,set_a/task1/trace_022,1
477,263,266,4,reject,set_a/task1/trace_022,1
478,267,269,3,reject,set_a/task1/trace_022,1
479,31,34,4,reject,set_a/task1/trace_023,1
480,35,37,3,reject,set_a/task1/trace_023,1
481,44,47,4,reject,set_a/task1/trace_023,1
482,48,52,5,reject,set_a/task1/trace_023,1
483,99,102,4,reject,set_a/task1/trace_023,1
484,103,105,3,reject,set_a/task1/trace_023,1
485,106,109,4,reject,set_a/task1/trace_023,1
486,113,119,7,reject,set_a/task1/trace_023,1
487,136,144,9,reject,set_a/task1/trace_023,1
488,169,176,8,accept,set_a/task1/trace_023,1
489,76,80,5,accept,set_a/task1/trace_024,1
490,82,84,3,reject,set_a/task1/trace_024,1
491,85,88,4,uncertain,set_a/task1/trace_024,1
492,89,92,4,uncertain,set_a/task1/trace_024,1
493,20,23,4,reject,set_a/task1/trace_025,1
494,26,30,5,reject,set_a/task1/trace_025,1
495,34,36,3,reject,set_a/task1/trace_025,1
496,37,41,5,reject,set_a/task1/trace_025,1
497,42,44,3,reject,set_a/task1/trace_025,1
498,49,53,5,reject,set_a/task1/trace_025,1
499,54,60,7,reject,set_a/task1/trace_025,1
500,61,63,3,reject,set_a/task1/trace_025,1
501,65,67,3,reject,set_a/task1/trace_025,1
502,68,71,4,reject,set_a/task1/trace_025,1
503,75,79,5,reject,set_a/task1/trace_025,1
504,80,89,10,uncertain,set_a/task1/trace_025,1
505,96,104,9,uncertain,set_a/task1/trace_025,1
506,105,109,5,reject,set_a/task1/trace_025,1
507,116,118,3,reject,set_a/task1/trace_025,1
508,120,127,8,reject,set_a/task1/trace_025,1
509,128,129,2,reject,set_a/task1/trace_025,1
510,130,139,10,uncertain,set_a/task1/trace_025,1
511,140,145,6,reject,set_a/task1/trace_025,1
512,146,152,7,reject,set_a/task1/trace_025,1
513,154,158,5,reject,set_a/task1/trace_025,1
514,159,160,2,reject,set_a/task1/trace_025,1
515,177,178,2,reject,set_a/task1/trace_025,1
516,179,182,4,reject,set_a/task1/trace_025,1
517,183,190,8,reject,set_a/task1/trace_025,1
518,191,205,15,reject,set_a/task1/trace_025,1
519,206,211,6,uncertain,set_a/task1/trace_025,1
520,212,214,3,reject,set_a/task1/trace_025,1
521,215,219,5,reject,set_a/task1/trace_025,1
522,220,222,3,reject,set_a/task1/trace_025,1
523,223,226,4,reject,set_a/task1/trace_025,1
524,227,234,8,reject,set_a/task1/trace_025,1
525,238,251,14,reject,set_a/task1/trace_025,1
526,252,254,3,uncertain,set_a/task1/trace_025,1
527,259,263,5,reject,set_a/task1/trace_025,1
528,268,269,2,reject,set_a/task1/trace_025,1
529,270,271,2,uncertain,set_a/task1/trace_025,1
530,272,276,5,reject,set_a/task1/trace_025,1
531,289,290,2,reject,set_a/task1/trace_025,1
532,38,40,3,reject,set_a/task1/trace_026,1
533,59,61,3,reject,set_a/task1/trace_026,1
534,74,75,2,uncertain,set_a/task1/trace_026,1
535,79,80,2,accept,set_a/task1/trace_026,1
536,28,30,3,reject,set_a/task1/trace_027,1
537,38,42,5,reject,set_a/task1/trace_027,1
538,43,48,6,reject,set_a/task1/trace_027,1
539,56,60,5,reject,set_a/task1/trace_027,1
540,62,64,3,reject,set_a/task1/trace_027,1
541,65,70,6,reject,set_a/task1/trace_027,1
542,76,77,2,uncertain,set_a/task1/trace_027,1
543,78,82,5,reject,set_a/task1/trace_027,1
544,85,90,6,reject,set_a/task1/trace_027,1
545,91,95,5,uncertain,set_a/task1/trace_027,1
